#begin result/param_reg confidence interval: 5% - 95%
"Operation"                        "Crash"                                                         min                              max "RR(4, 2, 0)"                                                   min                              max "RR(4, 2, 1)"                                                   min                              max "RR(4, 2, 2)"                                                   min                              max "RR(4, 2, 3)"                                                   min                              max "RR(4, 2, 4)"                                                   min                              max "RR(5, 1, 0)"                                                   min                              max "RR(5, 1, 1)"                                                   min                              max "RR(5, 1, 2)"                                                   min                              max "RR(5, 1, 3)"                                                   min                              max "RR(5, 1, 4)"                                                   min                              max "RR(5, 1, 5)"                                                   min                              max
                             get                             1.12                             0.87                             1.40                             0.98                             0.70                             1.26                             1.05                             0.77                             1.34                             1.12                             0.81                             1.44                             1.17                             0.87                             1.48                             1.25                             0.95                             1.54                             0.86                             0.58                             1.14                             0.88                             0.58                             1.19                             0.95                             0.65                             1.27                             1.00                             0.64                             1.35                             1.10                             0.72                             1.50                             1.24                             0.80                             1.59
                             put                             2.22                             1.84                             2.61                             2.20                             1.83                             2.57                             2.27                             1.87                             2.68                             2.35                             1.93                             2.77                             2.40                             1.97                             2.88                             2.66                             2.15                             3.21                             2.29                             1.87                             2.73                             2.23                             1.81                             2.64                             2.37                             1.92                             2.83                             2.38                             1.94                             2.86                             2.51                             2.00                             3.01                             2.75                             2.17                             3.35
#end
