#begin result/ycsb_redis confidence interval: 5% - 95%
"Operation"                    "A"                              min                              max                              "B"                              min                              max                              "C"                              min                              max                              "D"                              min                              max                              "E"                              min                              max                                    "F"                   min                              max
get                            50.59                            50.51                            50.65                            50.58                            50.51                            50.64                            50.59                            50.53                            50.64                            50.70                            50.61                            50.75                            0.0 0.0 0.0                                                                                              50.66                            50.58                            50.73
put                            50.58                            50.52                            50.63                            50.58                            50.52                            50.62                            0.0 0.0 0.0                                                                                        50.71                            50.65                            50.77                            50.68                            50.50                            50.77                            50.66                            50.57                            50.72
#end
