Operation	"with SGX"	min	max		"without SGX"	min	max
"cond"	2.1453810000000004	2.0941579999999997	2.172206	        1.4140675	1.3731780000000002	1.432044
"read"	1.2557280000000002	1.2365680000000001	1.5597349999999999	0.9798855	0.9677490000000001	1.14443
"write"	1.4626465	        1.427087	1.476526	                1.0797605	1.054617	1.0896759999999999


#2.1453810000000004   -  1.4140675
#1.2557280000000002   -  0.9798855
#1.4626465	         -  1.0797605

# absolute overhead
#.7313135000000004
#.2758425000000002
#.3828860

# absolute overhead per round (us)
#243
#275
#191

# avg absolute overhead per round (us)
#236


# relative overhead
#1.51717014923262178078
#1.28150482888051736656
#1.35460271050848776186

# avg relative overhead
#1.38442589620720896973
